Date Created: 20260618
Analysis: For RPR
Purposes:
     to prepare analyzed data for reporting on RPR June 2026

Picked: [raw_tiff_name, paired_abf]
[2024_10_11-0009.tif, 2024_10_11_0008.abf]
[2024_10_11-0010.tif, 2024_10_11_0009.abf]
[2024_10_11-0013.tif, 2024_10_11_0012.abf]
[2024_10_11-0014.tif, 2024_10_11_0013.abf]
[2024_10_11-0020.tif, 2024_10_11_0019.abf]
[2024_10_11-0029.tif, 2024_10_11_0028.abf]
[2024_10_11-0030.tif, 2024_10_11_0029.abf]
[2024_12_19-0010.tif, 2024_12_19_0001.abf]
[2024_12_19-0011.tif, 2024_12_19_0002.abf]
[2024_12_19-0012.tif, 2024_12_19_0003.abf]
[2024_12_19-0013.tif, 2024_12_19_0004.abf]
[2024_12_19-0020.tif, 2024_12_19_0012.abf]
[2024_12_19-0021.tif, 2024_12_19_0013.abf]
[2025_01_01-0012.tif, 2025_01_01_0007.abf]
[2025_01_01-0013.tif, 2025_01_01_0008.abf]
[2025_01_01-0014.tif, 2025_01_01_0009.abf]
[2025_01_01-0020.tif, 2025_01_01_0013.abf]
[2025_01_01-0021.tif, 2025_01_01_0014.abf]
[2025_01_01-0022.tif, 2025_01_01_0015.abf]
[2025_01_01-0029.tif, 2025_01_01_0019.abf]
[2025_01_01-0030.tif, 2025_01_01_0020.abf]
[2025_01_01-0031.tif, 2025_01_01_0021.abf]
[2025_01_01-0057.tif, 2025_01_01_0036.abf]
[2025_01_01-0058.tif, 2025_01_01_0037.abf]
[2025_02_05-0006.tif, 2025_02_05_0003.abf]
[2025_02_05-0007.tif, 2025_02_05_0004.abf]
[2025_02_05-0008.tif, 2025_02_05_0005.abf]
[2025_02_05-0016.tif, 2025_02_05_0010.abf]
[2025_02_05-0017.tif, 2025_02_05_0011.abf]
[2025_02_05-0026.tif, 2025_02_05_0017.abf]
[2025_02_05-0032.tif, 2025_02_05_0023.abf]
[2025_02_05-0041.tif, 2025_02_05_0027.abf]
[2025_02_05-0046.tif, 2025_02_05_0032.abf]
[2025_02_05-0047.tif, 2025_02_05_0033.abf]
[2025_02_05-0048.tif, 2025_02_05_0034.abf]
[2025_02_05-0049.tif, 2025_02_05_0035.abf]
[2025_02_05-0050.tif, 2025_02_05_0036.abf]
[2025_02_05-0051.tif, 2025_02_05_0037.abf]
[2025_02_05-0052.tif, 2025_02_05_0038.abf]
[2025_02_27-0005.tif, 2025_02_27_0002.abf]
[2025_04_03-0015.tif, 2025_04_03_0008.abf]
[2025_04_03-0022.tif, 2025_04_03_0015.abf]
[2025_04_03-0023.tif, 2025_04_03_0016.abf]
[2025_04_03-0024.tif, 2025_04_03_0017.abf]
[2025_04_03-0025.tif, 2025_04_03_0018.abf]
[2025_04_03-0026.tif, 2025_04_03_0019.abf]
[2025_04_03-0032.tif, 2025_04_03_0022.abf]
[2025_04_03-0033.tif, 2025_04_03_0023.abf]
[2025_04_03-0034.tif, 2025_04_03_0024.abf]
[2025_04_03-0035.tif, 2025_04_03_0025.abf]
[2025_04_03-0036.tif, 2025_04_03_0026.abf]
[2025_04_03-0037.tif, 2025_04_03_0027.abf]
[2025_04_03-0038.tif, 2025_04_03_0028.abf]
[2025_04_03-0039.tif, 2025_04_03_0029.abf]
[2025_04_03-0040.tif, 2025_04_03_0030.abf]
[2025_06_11-0000.tif, 2025_06_11_0001.abf]
[2025_06_11-0001.tif, 2025_06_11_0002.abf]
[2025_06_11-0002.tif, 2025_06_11_0003.abf]
[2025_06_11-0003.tif, 2025_06_11_0004.abf]
[2025_06_11-0004.tif, 2025_06_11_0005.abf]
[2025_06_11-0005.tif, 2025_06_11_0006.abf]
[2025_06_11-0006.tif, 2025_06_11_0007.abf]
[2025_06_11-0008.tif, 2025_06_11_0008.abf]
[2025_06_11-0009.tif, 2025_06_11_0009.abf]
[2025_06_11-0010.tif, 2025_06_11_0010.abf]
[2025_06_11-0011.tif, 2025_06_11_0012.abf]
[2025_06_11-0012.tif, 2025_06_11_0013.abf]
[2025_06_11-0013.tif, 2025_06_11_0014.abf]
[2025_07_17-0015.tif, 2025_07_17_0010.abf]
[2025_07_17-0016.tif, 2025_07_17_0011.abf]
[2025_07_17-0017.tif, 2025_07_17_0012.abf]
[2025_07_19-0005.tif, 2025_07_19_0002.abf]
[2025_07_19-0006.tif, 2025_07_19_0003.abf]
[2025_07_19-0007.tif, 2025_07_19_0004.abf]
[2025_07_19-0008.tif, 2025_07_19_0005.abf]
[2025_07_19-0009.tif, 2025_07_19_0006.abf]
[2025_07_19-0015.tif, 2025_07_19_0008.abf]
[2025_07_19-0017.tif, 2025_07_19_0010.abf]
[2025_07_19-0018.tif, 2025_07_19_0011.abf]
[2025_07_19-0019.tif, 2025_07_19_0012.abf]
[2025_09_26-0016.tif, 2025_09_26_0018.abf]
[2025_09_26-0017.tif, 2025_09_26_0019.abf]
[2025_09_26-0018.tif, 2025_09_26_0020.abf]
[2025_09_26-0019.tif, 2025_09_26_0021.abf]
[2025_10_13-0002.tif, 2025_10_13_0002.abf]
[2025_10_13-0003.tif, 2025_10_13_0003.abf]
[2025_10_13-0006.tif, 2025_10_13_0007.abf]
